epoch,train_loss,val_loss,train_acc_exit0,train_acc_exit1,train_acc_exit2,train_acc_exit3,val_acc_exit0,val_acc_exit1,val_acc_exit2,val_acc_exit3,lr
1,31.4520,15.5065,5.82,5.30,5.19,4.95,8.74,10.44,9.92,10.34,0.099994
2,27.6417,14.4375,11.71,12.89,12.48,12.36,11.84,14.74,14.24,15.14,0.099975
3,24.6109,12.7276,17.85,20.36,20.18,20.35,16.84,22.64,23.82,23.82,0.099944
4,21.4820,12.7030,24.62,28.44,28.82,29.28,18.46,27.72,28.60,28.76,0.099901
5,19.5085,11.9951,29.08,34.62,34.62,35.16,24.80,26.68,30.04,31.22,0.099846
6,18.1532,13.1182,32.37,38.75,38.69,39.03,24.48,29.24,28.78,29.48,0.099778
7,17.1308,10.1195,35.21,42.13,42.31,42.27,27.30,37.38,37.68,38.16,0.099698
8,16.4440,10.2223,37.08,44.06,44.18,44.64,26.30,35.42,38.86,38.60,0.099606
9,15.8587,11.5131,39.07,46.22,46.44,46.33,25.06,33.72,39.48,39.86,0.099501
10,15.3801,10.3540,40.07,47.61,48.25,48.20,29.88,35.70,38.04,38.54,0.099384
11,14.9885,9.8032,41.20,48.79,49.28,49.29,33.38,39.52,43.32,42.76,0.099255
12,14.6458,9.7494,42.06,49.88,50.37,50.63,33.30,41.66,41.32,41.04,0.099114
13,14.3613,9.2736,42.80,50.99,51.78,51.57,36.10,42.28,45.54,45.80,0.098961
14,14.0359,9.6334,43.77,51.97,52.64,52.62,31.44,39.82,42.30,42.46,0.098796
15,13.8071,12.9189,44.58,52.90,53.36,53.19,24.10,35.32,31.32,32.70,0.098618
16,13.6076,9.7729,45.25,53.30,54.12,53.99,28.92,40.02,46.66,46.06,0.098429
17,13.3909,10.5823,45.64,54.24,55.13,54.77,29.28,38.40,43.34,43.04,0.098228
18,13.3032,9.7918,46.19,54.40,55.42,55.28,29.98,41.10,46.00,44.46,0.098015
19,13.2114,12.5669,46.37,54.89,55.68,55.60,19.28,31.88,39.78,40.32,0.097790
20,13.0165,9.6907,47.10,55.51,56.47,56.14,32.54,42.98,47.18,47.20,0.097553
21,12.8936,9.2611,47.29,55.94,56.88,56.79,31.08,44.06,47.30,47.66,0.097304
22,12.7713,8.2542,47.58,56.60,56.86,57.12,37.76,47.30,50.80,50.06,0.097044
23,12.6277,9.1188,48.03,56.81,57.74,57.49,31.42,44.82,49.72,49.16,0.096772
24,12.5477,12.4688,48.76,57.10,58.03,57.90,23.74,39.62,40.14,41.86,0.096489
25,12.5044,10.4939,48.42,57.12,58.08,57.86,26.10,42.48,46.22,45.98,0.096194
26,12.4174,9.4520,48.70,57.39,58.41,58.21,32.88,43.56,47.38,48.66,0.095888
27,12.3401,10.9788,48.88,57.74,58.56,58.50,27.04,44.90,42.52,43.84,0.095570
28,12.2163,11.3769,49.56,58.15,59.14,58.94,26.60,34.72,40.88,41.08,0.095241
29,12.2120,8.1803,49.53,58.22,59.24,59.35,41.70,45.24,51.40,51.22,0.094901
30,12.0810,11.1248,49.85,58.79,59.80,59.44,30.86,38.74,44.00,44.22,0.094550
31,12.0400,9.3364,49.59,58.97,59.97,60.03,35.06,44.98,46.68,47.20,0.094188
32,12.0106,9.3776,49.99,58.62,59.93,60.06,34.88,42.32,46.98,46.86,0.093815
33,11.9558,9.2492,50.10,58.96,59.92,60.09,33.38,48.92,48.16,48.08,0.093432
34,11.9068,11.1061,50.30,59.10,60.31,60.16,30.42,40.00,41.30,40.62,0.093037
35,11.8445,8.9767,50.62,59.32,60.60,60.22,30.42,45.30,52.58,52.46,0.092632
36,11.7837,10.4440,50.59,59.56,61.11,60.70,27.32,42.20,46.72,46.68,0.092216
37,11.7846,9.2415,50.86,59.56,60.86,60.86,33.02,45.12,48.40,47.50,0.091790
38,11.6774,9.0819,51.32,60.09,61.12,61.07,37.60,42.24,47.38,47.88,0.091354
39,11.6620,10.7845,50.98,59.90,61.39,61.35,30.98,40.72,41.06,41.58,0.090907
40,11.5883,7.8740,51.65,60.18,61.75,61.81,40.82,48.66,55.20,53.28,0.090451
41,11.5870,8.1885,51.22,60.27,61.68,61.30,40.44,48.12,51.16,50.92,0.089984
42,11.4896,9.4051,51.87,60.58,61.75,61.87,31.38,44.32,45.94,47.30,0.089508
43,11.4969,8.9874,51.72,60.66,61.96,61.59,33.44,45.90,48.96,48.06,0.089022
44,11.4106,10.6783,52.00,60.84,62.21,61.93,30.42,41.46,47.56,47.72,0.088526
